sentence,language,intent,product_mentioned
25 kg atta order karo,Hindi,add_stock,flour
milk stock add karo today,Code-Mixed,add_stock,milk
how much should I order for next week please,English,get_prediction,unknown
bele 10 kg add please now,Code-Mixed,add_stock,dal
agle hafte sugar ki demand kya hogi please,Hindi,get_prediction,sugar
tel kitna bacha,Hindi,check_stock,oil
add coffee to store,English,add_stock,unknown
naale best seller yaav please,Kannada,get_prediction,unknown
haalu order maadi please now,Code-Mixed,add_stock,milk
increase stock before weekend please,English,add_stock,unknown
coffee kitna hai,Hindi,check_stock,unknown
minimum se neeche kya hai quickly,Hindi,low_stock_alert,unknown
chawal kitna bacha hai please,Hindi,check_stock,rice
juice jaasti maadi,Kannada,add_stock,unknown
akki order kodu please,Kannada,add_stock,rice
guide please dikhao abhi,Code-Mixed,help,unknown
poora inventory batao,Hindi,check_stock,unknown
minimum ge keLage yaav ide now,Kannada,low_stock_alert,unknown
what stock should I keep for next 7 days,English,get_prediction,unknown
help with alerts now,English,help,unknown
7 din ke liye stock kitna rakhun,Hindi,get_prediction,unknown
next week ka demand batao please,Code-Mixed,get_prediction,unknown
juice jaasti maadi please,Kannada,add_stock,unknown
restock sab items karo now,Code-Mixed,add_stock,unknown
kya khareedna chahiye next week ke liye asap,Code-Mixed,get_prediction,unknown
munde vaara sakkare bedu eshtu,Kannada,get_prediction,sugar
enne 5 litre haaku stock mein,Code-Mixed,add_stock,oil
bele forecast heli please,Kannada,get_prediction,dal
chai ka naya stock daalo please,Code-Mixed,add_stock,tea
sakkare mugiyutte ide order maadi,Kannada,add_stock,sugar
angadi saamanu eshtu,Kannada,check_stock,unknown
guide tilikoli,Kannada,help,unknown
alert me for low stock now,English,low_stock_alert,unknown
slow item batao please,Hindi,get_prediction,unknown
getting started please help asap,Code-Mixed,help,unknown
put 5 kg flour,English,add_stock,flour
inventory summary please,English,check_stock,unknown
increase ghee stock please,English,add_stock,ghee
next week ka demand batao,Code-Mixed,get_prediction,unknown
kya khatam hone wala hai alert do,Hindi,low_stock_alert,unknown
stock prediction kya hoti hai,Hindi,help,unknown
features kya hain explain karo jaldi,Code-Mixed,help,unknown
kya features hain now,Hindi,help,unknown
predict demand for sugar next week,English,get_prediction,sugar
daily low stock report please,English,low_stock_alert,unknown
alert do low items ke liye abhi,Code-Mixed,low_stock_alert,unknown
kya khatam ho raha hai tell me asap,Code-Mixed,low_stock_alert,oil
how do I use this please,English,help,unknown
tyohar mein kitna bikega,Hindi,get_prediction,unknown
next week ka demand batao jaldi,Code-Mixed,get_prediction,unknown
yaav items low ide batao jaldi,Code-Mixed,low_stock_alert,unknown
kya khatam ho raha hai tell me quickly,Code-Mixed,low_stock_alert,oil
hosa stock haaku system alli please,Kannada,add_stock,unknown
yaav item thumbaa kama ide,Kannada,low_stock_alert,unknown
haalu bedu eshtu aagutte,Kannada,get_prediction,milk
poha kitna hai,Hindi,check_stock,unknown
show guide now,English,help,unknown
usage instructions,English,help,unknown
sabudana eshtu baaki,Kannada,check_stock,unknown
smartstock kya hai aur kaise use kare,Code-Mixed,help,unknown
hosa nanu hege praarambbisu please,Kannada,help,unknown
khaali aagutte ide alert kodu,Kannada,low_stock_alert,unknown
naye user ke liye guide quickly,Code-Mixed,help,unknown
alert do low items ke liye today,Code-Mixed,low_stock_alert,unknown
sabbu 100 haaku please please,Code-Mixed,add_stock,soap
what can you do,English,help,unknown
praarambbha hege maadaali please,Kannada,help,unknown
which items are low quickly,English,low_stock_alert,unknown
oil remaining kitna hai abhi please,Code-Mixed,check_stock,oil
pratidinada low stock report please,Kannada,low_stock_alert,unknown
predict oil consumption,English,get_prediction,oil
do we have enough milk,English,check_stock,milk
predict festive season demand,English,get_prediction,unknown
items that will finish today,English,low_stock_alert,unknown
sakkare mugiyutte ide order maadi please,Kannada,add_stock,sugar
ee vaara enne eshtu beku,Kannada,get_prediction,oil
100 sabbu haaku,Kannada,add_stock,soap
restock all vegetables please,English,add_stock,unknown
juice badhao please,Hindi,add_stock,unknown
sabse kam stock kaunsa please,Hindi,low_stock_alert,unknown
bele forecast heli,Kannada,get_prediction,dal
hittu stock heli please,Kannada,check_stock,flour
10 kg besan daalo please,Hindi,add_stock,unknown
place order for rice please,English,add_stock,rice
tutorial chahiye help karo jaldi,Code-Mixed,help,unknown
weekend alli enu jasti biku please,Kannada,get_prediction,unknown
predict sales for monday now,English,get_prediction,unknown
tutorial chahiye quickly,Hindi,help,unknown
sabun kitna hai,Hindi,check_stock,soap
show guide,English,help,unknown
kapada thovuva powder haaku,Kannada,add_stock,unknown
nearly empty items now,English,low_stock_alert,unknown
ella item bedu heli please,Kannada,get_prediction,unknown
enu available ide,Kannada,check_stock,unknown
stock hege check maadali please,Kannada,help,dal
khaali hone wale items batao jaldi,Code-Mixed,low_stock_alert,unknown
expected sales for flour tomorrow please,English,get_prediction,flour
help menu tilikoli please,Kannada,help,unknown
kal kya best seller hoga,Hindi,get_prediction,unknown
masala bharo,Hindi,add_stock,unknown
is hafte ki umeed kya hai please,Hindi,get_prediction,unknown
tuppada stock jaasti karo asap,Code-Mixed,add_stock,ghee
alert do low items ke liye,Code-Mixed,low_stock_alert,unknown
is milk available,English,check_stock,milk
beleggina stock count,Kannada,check_stock,dal
juice kitna hai,Hindi,check_stock,unknown
what is running out quickly,English,low_stock_alert,unknown
how much oil remaining,English,check_stock,oil
forecast for this weekend now,English,get_prediction,unknown
ande mangao please,Hindi,add_stock,unknown
stock summary abhi do,Code-Mixed,check_stock,unknown
sugar quantity check,English,check_stock,sugar
naya stock daalo system mein please,Hindi,add_stock,unknown
predict oil consumption quickly,English,get_prediction,oil
bring more biscuits please,English,add_stock,unknown
weekend mein kya jyada bikega forecast today,Code-Mixed,get_prediction,unknown
which items are low batao now,Code-Mixed,check_stock,unknown
kaun sa item bohot kam bacha hai please,Hindi,low_stock_alert,unknown
stock prediction for next 7 days today,Code-Mixed,get_prediction,unknown
stock list tilikoli,Kannada,check_stock,unknown
naale ge forecast maadi please asap,Code-Mixed,get_prediction,unknown
25 kg hittu order maadi,Kannada,add_stock,flour
khaali hone wale items batao please,Code-Mixed,low_stock_alert,unknown
sabse jyada bikne wale item batao,Hindi,get_prediction,unknown
guide please dikhao asap,Code-Mixed,help,unknown
kya almost khatam hai,Hindi,low_stock_alert,unknown
benne hosa stock haaku,Kannada,add_stock,oil
stock low hai kya aaj today,Code-Mixed,low_stock_alert,unknown
how to check stock now,English,help,unknown
items running out fast now,English,low_stock_alert,unknown
sab cheez ka stock dikhao,Hindi,check_stock,unknown
alert me for low stock quickly,English,low_stock_alert,unknown
weekend ge mundhe stock jaasti,Kannada,add_stock,unknown
naale hisaab haaki now,Kannada,get_prediction,unknown
hosa maal bandide haaku,Kannada,add_stock,unknown
milk available hai kya today,Code-Mixed,check_stock,milk
atta ka stock check karo,Hindi,check_stock,flour
naya maal daalo please,Hindi,add_stock,unknown
demand forecast chahiye please,Hindi,get_prediction,unknown
pratidinada low stock report now,Kannada,low_stock_alert,unknown
jaldi order beku yaav item ge please,Kannada,low_stock_alert,unknown
yaav maal illa please,Kannada,low_stock_alert,unknown
sugar restock karo urgent please,Code-Mixed,add_stock,sugar
aaj reorder kya karna now,Hindi,low_stock_alert,unknown
predict high demand items now,English,get_prediction,unknown
stock warning do abhi now,Code-Mixed,low_stock_alert,unknown
delivery nantara update maadi,Kannada,add_stock,unknown
naale eshtu mugitu,Kannada,low_stock_alert,unknown
tutorial chahiye now,Hindi,help,unknown
morning inventory check,English,check_stock,unknown
how to use the app now,English,help,unknown
chawal ki bikri ka andaza do,Hindi,get_prediction,rice
do we have detergent,English,check_stock,unknown
predict slow moving items please,English,get_prediction,unknown
sakkare eshtu remaining please,Code-Mixed,check_stock,sugar
bele taa,Kannada,add_stock,dal
coffee ka stock badhao please,Hindi,add_stock,unknown
enne eshtu uliyitu,Kannada,check_stock,oil
sabbu eshtu ide,Kannada,check_stock,soap
we need more milk,English,add_stock,milk
stock low hai kya aaj,Code-Mixed,low_stock_alert,unknown
items below minimum level please,English,low_stock_alert,unknown
nidhaana item heli now,Kannada,get_prediction,unknown
sabbu order maadi,Kannada,add_stock,soap
help chahiye,Hindi,help,unknown
kya khatam ho raha hai tell me,Code-Mixed,low_stock_alert,oil
is hafte ki umeed kya hai now,Hindi,get_prediction,unknown
stock mugiyutte ide yaav now,Kannada,low_stock_alert,unknown
alert do low items ke liye asap,Code-Mixed,low_stock_alert,unknown
namak 10 kg badhao,Hindi,add_stock,salt
critical stock alert please,English,low_stock_alert,unknown
rice ka 10 kg add karo please,Code-Mixed,add_stock,rice
what commands are available please,English,help,unknown
weekend mein kya jyada bikega now,Hindi,get_prediction,unknown
what is the current dal stock,English,check_stock,dal
flour stock level,English,check_stock,flour
stock shortage list please now,English,low_stock_alert,unknown
smartstock kya hai aur kaise use kare today,Code-Mixed,help,unknown
naye user ke liye guide today,Code-Mixed,help,unknown
aaj ka shortage batao,Hindi,low_stock_alert,unknown
how to view reports please,English,help,unknown
tutorial chahiye help karo asap,Code-Mixed,help,unknown
forecast dal sales now,English,get_prediction,dal
kaise start karu please,Hindi,help,unknown
current rice inventory,English,check_stock,rice
nange sahaya beku please,Kannada,help,unknown
hege start maadali now,Kannada,help,dal
low stock items list please now,Code-Mixed,low_stock_alert,unknown
report kaise dekhe please,Hindi,help,unknown
kal kitna chawal bikega quickly,Hindi,get_prediction,rice
akki stock eshtu ide check karo quickly,Code-Mixed,check_stock,rice
kaunsa item kam ho raha hai quickly,Hindi,low_stock_alert,unknown
kya urgent hai please,Hindi,low_stock_alert,unknown
delivery bandide update maadi please,Kannada,add_stock,unknown
somwar ke liye forecast batao now,Hindi,get_prediction,unknown
almost mugiyitu enu now,Kannada,low_stock_alert,unknown
check for empty shelves,English,low_stock_alert,unknown
shampoo stock level,English,check_stock,unknown
help menu,English,help,unknown
weekend mein kya jyada bikega,Hindi,get_prediction,unknown
current tomato count,English,check_stock,unknown
add bread to inventory,English,add_stock,unknown
help me with inventory please,English,help,unknown
check chili powder,English,check_stock,unknown
yaav item thumbaa kama ide now,Kannada,low_stock_alert,unknown
how much rice will sell tomorrow now,English,get_prediction,rice
add new batch of goods,English,add_stock,unknown
bedu andaaja beku please,Kannada,get_prediction,unknown
guide please dikhao quickly,Code-Mixed,help,unknown
quick stock check,English,check_stock,unknown
weekend mein kya jyada bikega forecast now,Code-Mixed,get_prediction,unknown
prediction arthavenu please,Kannada,help,unknown
akki cheelagalu eshtu,Kannada,check_stock,rice
onion price and stock,English,check_stock,rice
stock update karo after delivery today,Code-Mixed,add_stock,unknown
10 kg chawal add karo please,Hindi,add_stock,rice
naale ge hittu eshtu beku please,Kannada,get_prediction,flour
stock prediction endare enu please,Kannada,help,unknown
naale akki eshtu biku please,Kannada,get_prediction,rice
current stock of chawal batao please,Code-Mixed,check_stock,rice
makhan ka naya stock daalo please,Hindi,add_stock,unknown
sab items check kar do,Code-Mixed,check_stock,unknown
7 din ke liye stock kitna rakhun please,Hindi,get_prediction,unknown
namkeen kitni bachi hai,Hindi,check_stock,unknown
bele taa please,Kannada,add_stock,dal
weekend mein kya jyada bikega forecast jaldi,Code-Mixed,get_prediction,unknown
sabbu 100 haaku please today,Code-Mixed,add_stock,soap
stock mugiyutte ide yaav,Kannada,low_stock_alert,unknown
cloves remaining count,English,check_stock,unknown
stock prediction for next 7 days now,Code-Mixed,get_prediction,unknown
we are running out of sugar so order more,English,add_stock,sugar
kya urgent hai,Hindi,low_stock_alert,unknown
cool drink order maadi,Kannada,add_stock,unknown
demand forecast please please,English,get_prediction,unknown
send low stock notification please,English,low_stock_alert,unknown
kya khatam ho raha hai now,Hindi,low_stock_alert,unknown
show me how to start please,English,help,unknown
jaldi restock karo,Hindi,add_stock,unknown
10 kg akki haaku please,Kannada,add_stock,rice
yaav items low ide batao please,Code-Mixed,low_stock_alert,unknown
forecast for upcoming holiday,English,get_prediction,unknown
stock prediction for next 7 days asap,Code-Mixed,get_prediction,unknown
urgent order yaav item ge now,Kannada,low_stock_alert,unknown
add cold drink bottles,English,add_stock,unknown
bread stock haaku please,Kannada,add_stock,unknown
stock levels now,English,check_stock,unknown
smartstock kya hai,Hindi,help,unknown
restock sugar please please,English,add_stock,sugar
sales prediction for rice please,English,get_prediction,rice
khaali hone wale items batao quickly,Code-Mixed,low_stock_alert,unknown
juice packets remaining,English,check_stock,unknown
complete stock report please please,Code-Mixed,check_stock,unknown
namak 10 kg badhao please,Hindi,add_stock,salt
weekly stock check,English,check_stock,unknown
weekend alli enu jasti biku now,Kannada,get_prediction,unknown
stock summary abhi do please,Code-Mixed,check_stock,unknown
7 dina ge stock eshtu irabeku,Kannada,get_prediction,unknown
demand estimate please batao jaldi,Code-Mixed,get_prediction,unknown
predict tomorrow's need,English,get_prediction,unknown
add coffee to store please,English,add_stock,unknown
smartstock kya hai now,Hindi,help,unknown
reorder tea please,English,add_stock,tea
current stock value,English,check_stock,unknown
naya maal add karo system mein,Code-Mixed,add_stock,unknown
increase salt stock by 10 kg,English,add_stock,salt
chai powder stock kitna ide please,Code-Mixed,check_stock,tea
delivery aayi hai update karo please,Hindi,add_stock,unknown
naale akki sales prediction do now,Code-Mixed,get_prediction,rice
cheeni kitni bachi please,Hindi,check_stock,sugar
forecast dal sales,English,get_prediction,dal
critical stock alert,English,low_stock_alert,unknown
urgent stock alert needed now,English,low_stock_alert,unknown
subah stock count karo,Hindi,check_stock,unknown
indina stock check,Kannada,check_stock,unknown
show me how to start,English,help,unknown
tuppa jaasti maadi please,Kannada,add_stock,ghee
restock all vegetables,English,add_stock,unknown
badam stock eshtu,Kannada,check_stock,unknown
naye user ke liye guide asap,Code-Mixed,help,unknown
kya kya kar sakte hai,Hindi,help,unknown
oil remaining kitna hai abhi,Code-Mixed,check_stock,oil
system kaise kaam karta hai explain please,Code-Mixed,help,unknown
sabhi cheez ka stock batao,Hindi,check_stock,unknown
new stock arrived please add,English,add_stock,unknown
abhi kya available hai,Hindi,check_stock,unknown
which items are running,English,check_stock,unknown
sugar demand forecast please abhi,Code-Mixed,get_prediction,sugar
munde tiNgaLige stock plan please,Kannada,get_prediction,unknown
alert do low items ke liye please,Code-Mixed,low_stock_alert,unknown
tell me items that are almost finished now,English,low_stock_alert,oil
naale ge forecast maadi please please,Code-Mixed,get_prediction,unknown
chai ka naya stock daalo today,Code-Mixed,add_stock,tea
tuppada stock jaasti karo please,Code-Mixed,add_stock,ghee
hittu stock tilikoli,Kannada,check_stock,flour
kya kya kar sakte hai please,Hindi,help,unknown
use karne ka tarika batao,Hindi,help,unknown
how to set minimum stock now,English,help,unknown
demand forecast for all items now,English,get_prediction,unknown
milk stock add karo quickly,Code-Mixed,add_stock,milk
shortage items today,English,low_stock_alert,unknown
send low stock notification now,English,low_stock_alert,unknown
akki biku andaaja kodu now,Kannada,get_prediction,rice
add washing powder to store,English,add_stock,unknown
stock update karo after delivery,Code-Mixed,add_stock,unknown
jaldi order chahiye kaun se item mein please,Hindi,low_stock_alert,unknown
nearly empty items,English,low_stock_alert,unknown
yaav items low ide batao today,Code-Mixed,low_stock_alert,unknown
smartstock endare enu,Kannada,help,unknown
inventory for tomorrow,English,check_stock,unknown
purchase 20 kg wheat,English,add_stock,unknown
help chahiye kaise use karu today,Code-Mixed,help,unknown
is curd available,English,check_stock,unknown
mujhe madad chahiye quickly,Hindi,help,unknown
sahaya beku please,Kannada,help,unknown
kya khatam hone wala hai,Hindi,check_stock,unknown
aaj ka stock check karo,Hindi,check_stock,unknown
smartstock kya hai please,Hindi,help,unknown
kya urgent hai now,Hindi,low_stock_alert,unknown
enu maadabahudu now,Kannada,help,unknown
sab ka inventory status do,Code-Mixed,check_stock,unknown
how much rice is left,English,check_stock,rice
hittu 25 kg order karo now,Code-Mixed,add_stock,flour
minimum stock hege set maadali please,Kannada,help,dal
slow moving items stock,English,check_stock,unknown
restock sugar please,English,add_stock,sugar
naale akki sales prediction do please,Code-Mixed,get_prediction,rice
check cold storage items,English,check_stock,unknown
rava kitna pada hai,Hindi,check_stock,unknown
bhanuvaara enu beku aagutte now,Kannada,get_prediction,unknown
urgent order kaun sa item please,Hindi,low_stock_alert,unknown
naye user ke liye guide please,Code-Mixed,help,unknown
stock prediction endare enu,Kannada,help,unknown
mirch kitna hai,Hindi,check_stock,unknown
help chahiye please,Hindi,help,unknown
sabbu eshtu uliyitu angadiyalli,Kannada,check_stock,soap
low stock ki suchi do,Hindi,low_stock_alert,unknown
kismis eshtu uliyitu,Kannada,check_stock,unknown
coffee stock jaasti maadi please,Kannada,add_stock,unknown
yaav maal mugitu,Kannada,low_stock_alert,unknown
milk available hai kya today quickly,Code-Mixed,check_stock,milk
app hege chaalaisu now,Kannada,help,unknown
rice ka stock kya hai,Hindi,check_stock,rice
guide please dikhao please,Code-Mixed,help,unknown
yaav item kama aagutte,Kannada,low_stock_alert,unknown
dal stock kya show karega quickly,Code-Mixed,check_stock,dal
add 100 units of soap,English,add_stock,soap
is hafte tel kitna lagega please,Hindi,get_prediction,oil
5 litre enne tin haaku please,Kannada,add_stock,oil
aaj kitna khatam hua please,Hindi,low_stock_alert,unknown
yaav item kama aagutte please,Kannada,low_stock_alert,unknown
dudde yaavudu ide,Kannada,check_stock,unknown
complete stock report please,Code-Mixed,check_stock,unknown
tutorial beku now,Kannada,help,unknown
rice bag count,English,check_stock,rice
check for empty shelves please,English,low_stock_alert,unknown
ella sari ide ya,Kannada,check_stock,unknown
kya kar sakte ho now,Hindi,help,unknown
yaav item thumbaa kama ide please,Kannada,low_stock_alert,unknown
how much rice will sell tomorrow quickly,English,get_prediction,rice
what will sell most tomorrow now,English,get_prediction,unknown
add 100 units of soap please,English,add_stock,soap
stock low hai kya aaj asap,Code-Mixed,low_stock_alert,unknown
how do I use this now,English,help,unknown
restock sab items karo please,Code-Mixed,add_stock,unknown
add 10 kg besan,English,add_stock,unknown
stock hege check maadali quickly,Kannada,help,dal
hege upayogisu quickly,Kannada,help,unknown
what needs urgent reorder,English,low_stock_alert,unknown
help chahiye kaise use karu now,Code-Mixed,help,unknown
sabbu 100 haaku please,Code-Mixed,add_stock,soap
sugar restock karo urgent,Code-Mixed,add_stock,sugar
check inventory,English,check_stock,unknown
fast chal raha kya item,Hindi,check_stock,unknown
help chahiye kaise use karu abhi,Code-Mixed,help,unknown
low stock pattiyaa kodu now,Kannada,low_stock_alert,unknown
emergency mein kya order karu now,Hindi,low_stock_alert,unknown
send low stock notification,English,low_stock_alert,unknown
tea powder eshtu ide please,Kannada,check_stock,tea
kal ke liye aata kitna chahiye please,Hindi,get_prediction,unknown
how to view reports now,English,help,unknown
bele stock konchaa ide check now,Code-Mixed,check_stock,dal
bele stock konchaa ide check quickly,Code-Mixed,check_stock,dal
kapde dhone ka powder daalo please,Hindi,add_stock,unknown
5 litre enne tin haaku,Kannada,add_stock,oil
sakkare stock jaasti maadi please,Kannada,add_stock,sugar
sugar demand forecast please please,Code-Mixed,get_prediction,sugar
milk stock add karo,Code-Mixed,add_stock,milk
sabudana kitna hai,Hindi,check_stock,unknown
kaise use karu,Hindi,help,unknown
naale ge hittu eshtu beku now,Kannada,get_prediction,flour
low stock items list please quickly,Code-Mixed,low_stock_alert,unknown
replenish masala stock please,English,add_stock,unknown
delivery aayi hai update karo,Hindi,add_stock,unknown
saamaan bandide add maadi,Kannada,add_stock,unknown
app hege chaalaisu please,Kannada,help,unknown
report kaise dekhe,Hindi,help,unknown
stock warning do abhi quickly,Code-Mixed,low_stock_alert,unknown
shampoo eshtu uliyitu,Kannada,check_stock,unknown
forecast kaise kaam karta hai,Hindi,help,unknown
50 noodle packet dalo please,Hindi,add_stock,dal
predict high demand items,English,get_prediction,unknown
system kaise kaam karta hai explain now,Code-Mixed,help,unknown
stock khatam hone wala kaun sa now,Hindi,low_stock_alert,unknown
stock warning do abhi today,Code-Mixed,low_stock_alert,unknown
stock alert kodu now,Kannada,low_stock_alert,unknown
sakkare bedu andaaja haaki please,Kannada,get_prediction,sugar
munde tiNgaLige stock plan now,Kannada,get_prediction,unknown
system kaise kaam karta hai explain abhi,Code-Mixed,help,unknown
tea stock please,English,check_stock,tea
bhanuvaara enu beku aagutte,Kannada,get_prediction,unknown
sabse kam stock kaunsa,Hindi,low_stock_alert,unknown
bele stock konchaa ide check please,Code-Mixed,check_stock,dal
sugar kitna hai currently please,Code-Mixed,check_stock,sugar
how does prediction work please,English,help,unknown
enne upayoga eshtu aagutte,Kannada,get_prediction,oil
use karne ka tarika batao now,Hindi,help,unknown
kya features hain,Hindi,help,unknown
how to add items,English,help,unknown
enu mugiyutte ide quickly,Kannada,low_stock_alert,unknown
munde vaara eshtu order maadali,Kannada,get_prediction,dal
bandha maal system alli haaku please,Kannada,add_stock,unknown
rice ka stock check karo please please,Code-Mixed,check_stock,rice
inventory update hege maadali now,Kannada,help,dal
which products are critically low,English,low_stock_alert,unknown
ee vaara enu aaagabeku please,Kannada,get_prediction,unknown
atta stock level kya hai now,Code-Mixed,check_stock,flour
how to get started please,English,help,unknown
guide tilikoli now,Kannada,help,unknown
sugar ka maal kitna,Hindi,check_stock,sugar
add received goods to inventory please,English,add_stock,unknown
doodh order karo please,Hindi,add_stock,milk
current stock of chawal batao,Code-Mixed,check_stock,rice
forecast for upcoming holiday now,English,get_prediction,unknown
sab items check kar do quickly,Code-Mixed,check_stock,unknown
stock warning do abhi abhi,Code-Mixed,low_stock_alert,unknown
jeera kitna bacha,Hindi,check_stock,unknown
chai mangao please,Hindi,add_stock,tea
naale akki sales prediction do asap,Code-Mixed,get_prediction,rice
forecast next month inventory need now,English,get_prediction,unknown
khaali shelf yaav now,Kannada,low_stock_alert,unknown
what stock should I keep for next 7 days now,English,get_prediction,unknown
naale akki sales prediction do,Code-Mixed,get_prediction,rice
sugar demand forecast please now,Code-Mixed,get_prediction,sugar
what will be needed on sunday please,English,get_prediction,unknown
haalu order maadi,Kannada,add_stock,milk
near expiry items check,English,check_stock,unknown
we need to reorder eggs please,English,add_stock,unknown
sakkare cheelagalu eshtu,Kannada,check_stock,sugar
ee vaara enu aaagabeku now,Kannada,get_prediction,unknown
ella item bedu heli now,Kannada,get_prediction,unknown
minimum se neeche kya hai please,Hindi,low_stock_alert,unknown
tea kitna stock hai tell me please,Code-Mixed,check_stock,oil
weekend ke pehle stock badhao please,Hindi,add_stock,unknown
coriander stock level,English,check_stock,unknown
we are running out of sugar so order more please,English,add_stock,sugar
forecast hege kaela yuttade now,Kannada,help,unknown
benne hosa stock haaku please,Kannada,add_stock,oil
hittu 25 kg order karo asap,Code-Mixed,add_stock,flour
dal packet eshtu ide,Kannada,check_stock,dal
doodh hai kya aaj,Hindi,check_stock,milk
how to use the app please,English,help,unknown
ande mangao,Hindi,add_stock,unknown
sabbu eshtu ide tell me now,Code-Mixed,check_stock,oil
100 sabun dalo,Hindi,add_stock,dal
kal kitna rice bikega predict karo jaldi,Code-Mixed,get_prediction,rice
how to get started,English,help,unknown
help menu now,English,help,unknown
somvara ge forecast heli now,Kannada,get_prediction,unknown
20 kg godhi kharidi,Kannada,add_stock,unknown
sabbu packet eshtu ide,Kannada,check_stock,soap
emergency restock kaun sa jaldi,Code-Mixed,low_stock_alert,unknown
agarbatti kitni bachi,Hindi,check_stock,unknown
yaav item kama aagutte quickly,Kannada,low_stock_alert,unknown
aaj kya finish hoga,Hindi,low_stock_alert,unknown
forecast for this weekend,English,get_prediction,unknown
check vegetable oil stock,English,check_stock,oil
aaj kitna khatam hua now,Hindi,low_stock_alert,unknown
increase ghee stock,English,add_stock,ghee
tutorial chahiye help karo now,Code-Mixed,help,unknown
akki eshtu ide please,Kannada,check_stock,rice
stock warning kodu please,Kannada,low_stock_alert,unknown
stock alert kodu please,Kannada,low_stock_alert,unknown
guide please dikhao today,Code-Mixed,help,unknown
50 noodle packet dalo,Hindi,add_stock,dal
how to set minimum stock,English,help,unknown
tell me stock of all products,English,check_stock,oil
sugar kitna hai currently quickly,Code-Mixed,check_stock,sugar
low stock items list please please,Code-Mixed,low_stock_alert,unknown
uppu 10 kg jaasti maadi please,Kannada,add_stock,salt
demand forecast please,English,get_prediction,unknown
bandha maal system alli haaku,Kannada,add_stock,unknown
chai mangao,Hindi,add_stock,tea
hosa maal haaku please,Kannada,add_stock,unknown
raje dinakke forecast now,Kannada,get_prediction,unknown
itwaar ko kya chahiye hoga,Hindi,get_prediction,unknown
guide dikhao please,Hindi,help,unknown
zero stock kaun sa hai,Hindi,low_stock_alert,unknown
how much oil will I need this week now,English,get_prediction,oil
prediction samjhao,Hindi,help,unknown
stock hege check maadali now,Kannada,help,dal
bele 10 kg add please please,Code-Mixed,add_stock,dal
20 kg godhi kharidi please,Kannada,add_stock,unknown
add 5 litre oil cans,English,add_stock,oil
emergency restock kaun sa please,Code-Mixed,low_stock_alert,unknown
kal ke liye aata kitna chahiye,Hindi,get_prediction,unknown
tuppa jaasti maadi,Kannada,add_stock,ghee
motte taa please,Kannada,add_stock,unknown
jaldi order beku yaav item ge,Kannada,low_stock_alert,unknown
yaav maal mugitu please,Kannada,low_stock_alert,unknown
sakkare stock jaasti maadi,Kannada,add_stock,sugar
demand estimate please batao,Code-Mixed,get_prediction,unknown
yaav item jasti biku,Kannada,check_stock,unknown
shuruat kaise kare,Hindi,help,unknown
sabse kam stock kaunsa now,Hindi,low_stock_alert,unknown
dal ka kitna stock bacha,Hindi,check_stock,dal
items running out fast,English,low_stock_alert,unknown
most used items stock,English,check_stock,unknown
store mein kya bacha hai,Hindi,check_stock,unknown
help with this system now,English,help,unknown
forecast next month inventory need,English,get_prediction,unknown
enne upayoga eshtu aagutte quickly,Kannada,get_prediction,oil
next week ka demand batao today,Code-Mixed,get_prediction,unknown
minimum ge keLage yaav ide quickly,Kannada,low_stock_alert,unknown
stock warning kodu now,Kannada,low_stock_alert,unknown
agle hafte kitna order karu please,Hindi,get_prediction,unknown
check all spice levels,English,check_stock,unknown
phenyl eshtu uliyitu,Kannada,check_stock,unknown
kya khareedna chahiye next week ke liye abhi,Code-Mixed,get_prediction,unknown
emergency restock kaun sa asap,Code-Mixed,low_stock_alert,unknown
running low on what items please,English,low_stock_alert,unknown
biscuits remaining count,English,check_stock,unknown
kaun sa maal nahi bacha,Hindi,low_stock_alert,unknown
low stock items list please,Code-Mixed,low_stock_alert,unknown
forecast hege kaela yuttade please,Kannada,help,unknown
yaav item jasti biku heli,Kannada,get_prediction,unknown
minimum stock kaise set kare,Hindi,help,unknown
what will be milk demand please,English,get_prediction,milk
jaldi restock maadi,Kannada,add_stock,unknown
suji kitni bachi hai,Hindi,check_stock,unknown
khali shelf kaun si please,Hindi,low_stock_alert,unknown
kya features hain please,Hindi,help,unknown
yaav items low ide batao,Code-Mixed,low_stock_alert,unknown
kya kar sakte ho,Hindi,help,unknown
chai patti kitni hai,Hindi,check_stock,tea
jaldi order beku yaav item ge now,Kannada,low_stock_alert,unknown
full inventory tilikoli,Kannada,check_stock,unknown
doodh ki demand kya hogi now,Hindi,get_prediction,milk
add stock for upcoming festival,English,add_stock,unknown
biscuit ka stock dikhao,Hindi,check_stock,unknown
system kaise kaam karta hai explain,Code-Mixed,help,unknown
bedu andaaja beku,Kannada,get_prediction,unknown
chawal ki bikri ka andaza do please,Hindi,get_prediction,rice
features kya hain explain karo,Code-Mixed,help,unknown
add soap to inventory,English,add_stock,soap
enu mugiyutte ide,Kannada,check_stock,unknown
which items are low batao,Code-Mixed,check_stock,unknown
naye user ke liye guide,Code-Mixed,help,unknown
kya kar sakte ho please,Hindi,help,unknown
chawal ka order do,Hindi,add_stock,rice
how many bags of sugar,English,check_stock,sugar
what is smartstock now,English,help,unknown
zero stock items please,English,low_stock_alert,unknown
yaav urgent ide,Kannada,low_stock_alert,unknown
